
 epoch: 15, val_loss: 0.2540, acc: 0.9123, acc_cls: 0.6871, mean_iu: 0.6304, fwavacc: 0.8396
 epoch: 16, train_loss: 0.1649, acc: 0.9400, acc_cls: 0.7790, mean_iu: 0.7264, fwavacc: 0.8889
 epoch: 16, val_loss: 0.2556, acc: 0.9122, acc_cls: 0.6963, mean_iu: 0.6362, fwavacc: 0.8408
 epoch: 17, train_loss: 0.1473, acc: 0.9453, acc_cls: 0.7945, mean_iu: 0.7467, fwavacc: 0.8977
 epoch: 17, val_loss: 0.2613, acc: 0.9138, acc_cls: 0.6921, mean_iu: 0.6359, fwavacc: 0.8420
 epoch: 18, train_loss: 0.1417, acc: 0.9475, acc_cls: 0.8016, mean_iu: 0.7555, fwavacc: 0.9014
 epoch: 18, val_loss: 0.2524, acc: 0.9137, acc_cls: 0.6986, mean_iu: 0.6399, fwavacc: 0.8428
 epoch: 19, train_loss: 0.1437, acc: 0.9468, acc_cls: 0.7989, mean_iu: 0.7523, fwavacc: 0.9001
 epoch: 19, val_loss: 0.2481, acc: 0.9146, acc_cls: 0.7005, mean_iu: 0.6425, fwavacc: 0.8442
 epoch: 20, train_loss: 0.1441, acc: 0.9464, acc_cls: 0.7988, mean_iu: 0.7514, fwavacc: 0.8996
 epoch: 20, val_loss: 0.2497, acc: 0.9160, acc_cls: 0.6882, mean_iu: 0.6366, fwavacc: 0.8441
 epoch: 21, train_loss: 0.1605, acc: 0.9399, acc_cls: 0.7794, mean_iu: 0.7262, fwavacc: 0.8887
 epoch: 21, val_loss: 0.2968, acc: 0.8881, acc_cls: 0.6944, mean_iu: 0.6033, fwavacc: 0.8132
 epoch: 22, train_loss: 0.1522, acc: 0.9436, acc_cls: 0.7904, mean_iu: 0.7404, fwavacc: 0.8949
 epoch: 22, val_loss: 0.2622, acc: 0.9171, acc_cls: 0.6864, mean_iu: 0.6369, fwavacc: 0.8451
 epoch: 23, train_loss: 0.1412, acc: 0.9478, acc_cls: 0.8021, mean_iu: 0.7566, fwavacc: 0.9019
 epoch: 23, val_loss: 0.2494, acc: 0.9156, acc_cls: 0.7005, mean_iu: 0.6441, fwavacc: 0.8454
 epoch: 24, train_loss: 0.1386, acc: 0.9486, acc_cls: 0.8049, mean_iu: 0.7597, fwavacc: 0.9032
 epoch: 24, val_loss: 0.2678, acc: 0.9057, acc_cls: 0.6752, mean_iu: 0.6132, fwavacc: 0.8303
 epoch: 25, train_loss: 0.1437, acc: 0.9468, acc_cls: 0.7993, mean_iu: 0.7525, fwavacc: 0.9001
 epoch: 25, val_loss: 0.3364, acc: 0.8920, acc_cls: 0.6744, mean_iu: 0.5960, fwavacc: 0.8151
 epoch: 26, train_loss: 0.1645, acc: 0.9395, acc_cls: 0.7746, mean_iu: 0.7229, fwavacc: 0.8877
 epoch: 26, val_loss: 0.2800, acc: 0.9079, acc_cls: 0.6474, mean_iu: 0.5959, fwavacc: 0.8284
 epoch: 27, train_loss: 0.1571, acc: 0.9418, acc_cls: 0.7845, mean_iu: 0.7331, fwavacc: 0.8918
 epoch: 27, val_loss: 0.2606, acc: 0.9121, acc_cls: 0.7102, mean_iu: 0.6448, fwavacc: 0.8425
 epoch: 28, train_loss: 0.1537, acc: 0.9430, acc_cls: 0.7864, mean_iu: 0.7371, fwavacc: 0.8937
 epoch: 28, val_loss: 0.2782, acc: 0.9063, acc_cls: 0.6650, mean_iu: 0.6070, fwavacc: 0.8295
 epoch: 29, train_loss: 0.1463, acc: 0.9456, acc_cls: 0.7955, mean_iu: 0.7478, fwavacc: 0.8982
 epoch: 29, val_loss: 0.2649, acc: 0.9064, acc_cls: 0.6805, mean_iu: 0.6177, fwavacc: 0.8318
 epoch: 30, train_loss: 0.1411, acc: 0.9478, acc_cls: 0.8019, mean_iu: 0.7563, fwavacc: 0.9018
 epoch: 30, val_loss: 0.3059, acc: 0.9004, acc_cls: 0.7001, mean_iu: 0.6220, fwavacc: 0.8276
 epoch: 31, train_loss: 0.1375, acc: 0.9492, acc_cls: 0.8073, mean_iu: 0.7625, fwavacc: 0.9043
